provincia,operatori_biologici,operatori_biologici_produzione_vegetale,operatori_biologici_produzione_zootecnica,operatori_biologici_importatore,operatori_biologici_esportatore,operatori_biologici_tipologia_non_specificata,operatori_biologici_produttori,operatori_biologici_preparatori,fattorie_didattiche_servizi_asilo_nido,fattorie_didattiche_servizi_scuola_infanzia,fattorie_didattiche_servizi_scuola_primaria,fattorie_didattiche_servizi_scuola_secondaria_i_grado,fattorie_didattiche_servizi_scuola_secondaria_ii_grado,fattorie_didattiche_servizi_adulti,fattorie_didattiche_servizi_disabili,fattorie_didattiche_servizi_anziani,fattorie_didattiche_servizi_ristorazione,fattorie_didattiche_servizi_attivita_sportive,fattorie_didattiche_servizi_pernottamento,fattorie_didattiche_servizi_punto_vendita,fattorie_didattiche_servizi_azienda_bio,fattorie_didattiche_servizi_accessibilita_disabili,acque_sotterranee_punti_prelievo,acque_sotterranee_parametri_sopra_limite_legge,acque_sotterranee_parametri_sopra_limite_attenzione,acque_sotterranee_parametri_nella_norma
MN,279,221,74,2,5,49,224,89,4,14,14,13,9,10,8,7,9,12,6,12,4,14,66,3622,226,4649
PV,625,561,116,4,0,52,569,138,1,18,19,15,11,12,6,4,18,18,12,16,8,19,64,3222,224,4482
BS,471,373,94,5,2,87,377,230,14,27,30,23,16,15,12,9,22,22,17,17,14,25,66,3968,232,5032
BG,206,138,49,5,4,58,139,113,14,48,51,42,29,29,15,15,32,29,24,38,7,37,39,1965,99,2662
MI,410,138,44,43,4,223,142,310,10,18,19,17,13,14,11,10,11,8,7,14,6,18,70,5028,214,6678
VA,63,29,18,4,2,26,32,44,3,11,11,6,3,6,3,4,11,11,8,12,1,10,33,1581,125,2380
MB,64,32,8,2,0,28,34,42,2,5,5,5,2,2,4,1,3,2,2,4,1,5,19,1356,52,1703
LC,56,31,13,3,0,20,33,33,3,7,7,6,5,7,4,2,4,6,3,5,2,6,21,1087,125,1477
CR,120,82,28,2,0,34,84,56,3,12,12,9,6,8,5,2,10,7,6,9,5,13,48,2220,168,2592
LO,52,35,19,1,0,16,35,28,2,9,9,7,5,5,4,4,5,6,2,8,0,8,33,1914,59,2771
CO,61,32,21,1,0,23,37,40,4,8,9,6,5,7,5,6,3,7,2,7,5,7,26,1265,119,1985
SO,81,62,22,4,0,16,63,47,3,7,7,7,6,6,4,2,4,4,4,4,1,7,16,673,69,774
